shortname,name,content
versjoner,Versjoner,Teknisk betegnelse på hvilke versjoner i budsjettsystemet data er hentet fra.&#13;

sumart1,Sumart1,Utgift (1) eller inntekt (2)&#13;

sumart1-tekst,Sumart1(T),Utgifts- eller inntektstekst&#13;

kost2a,Kost2a,3-sifret artsgruppe&#13;

hovedgruppering-art,Hovedgruppering art,"Felles betegnelse/navn på artsgrupen over, brukes bl.a. i obligatoriske hovedoversikter og skiller mellom investeringer i prosjekter, finansiering og andre deler av investeringsbudsjettet.&#13;"

avdeling,Avdeling,Byrådsavdelings-nummer (til internt bruk og sortering)&#13;

avdeling-tekst,Avdeling(T),Byrådsavdeling-navn.  Viser hvilken kommunal byrådsavdeling som har ansvaret for den aktuelle budsjettposten.&#13;

avgfin-ikke-avgfin,Avgiftsfinansiert/ikke-avgiftsfinansiert,"Skiller mellom avgiftsfinansierte tjenester som finansieres gjennom gebyrer (selvkost), og øvrige tjenester.&#13;"

tjenesteomraade,Tjenesteområde,Tjenesteområde-nummer&#13;

tjenesteomraade-tekst,Tjenesteområde(T),Tjenesteområde-navn.  Et tjenesteområde er en samling av tjenester.&#13;

tjeneste,Tjeneste,"5-sifret tjeneste-nummer.  De tre første sifrene angir KOSTRA-funksjon, mens de to siste brukes til ytterligere detaljering i Bergen kommune.&#13;"

tjeneste-tekst,Tjeneste(T),Tjeneste-navn.  En tjeneste defineres som et konkret sluttprodukt som er levert til en bestemt bruker. Tjeneste refererer til hva som leveres.&#13;

proplan,Proplan,Teknisk samlekode for en gruppe av prosjekter.&#13;

prosjektkategori,Prosjektkategori,"Beskrivelse av en gruppering av prosjekter, f.eks. Kirkeinvesteringer.&#13;"

prosjekt,Prosjekt,Prosjektnummer i budsjettsystemet.&#13;

prosjekt-tekst,Prosjekt(T),Prosjekt-navn.&#13;

geografisk-bydel,Geografisk bydel,Angir hvilken bydel (nummer)  investeringsobjektet hører hjemme i.  For bydekkende tjenester brukes nr. 90.&#13;

geografisk-bydel-tekst,Geografisk bydel(T),Angir hvilken bydel (tekst) investeringsobjektet hører hjemme i.  For bydekkende tjenester brukes nr. 90.&#13;

2011-fra-vedt-okonomiplan,2011 (fra vedt. øk.plan),"Vedtatt budsjettbeløp for 2011.  Beløpet hentes fra vedtatt økonomiplan i stedet for vedtatt årsbudsjett, fordi investeringer i økonomiplanen budsjetteres på bestillende byrådsavdeling, mens det i årsbudsjettet budsjetteres på utførende enhet (ofte BKB el"
2012,2012,Budsjettåret 2012&#13;

2013,2013,Økonomiplanåret 2013&#13;

2014,2014,Økonomiplanåret 2014&#13;

2015,2015,Økonomiplanåret 2015&#13;

