leverandor,jan,feb,mars,april,mai,juni,juli,aug,sep,okt,nov,des,total
Arbeidsdepartementet,225,200,310,247,111,124,91,139,130,113,208,136,2034
Arbeidstilsynet,972,1405,1738,919,840,476,543,1129,1003,827,1153,644,11649
Arkivverket,0,0,0,34,58,104,101,111,182,146,198,114,1048
"Barne-, likestillings- og inkluderingsdepartementet",303,167,202,140,289,170,126,132,215,138,205,145,2232
"Barne-, ungdoms- og familiedirektoratet",0,0,0,21,28,47,26,34,76,85,70,48,435
Brønnøysundregistrene,21,41,67,40,30,18,40,27,28,49,37,41,439
Datatilsynet,170,166,190,136,124,144,193,234,112,160,184,163,1976
Departementenes servicesenter,0,17,34,15,6,1,8,10,33,10,43,51,228
Direktoratet for mineralforvaltning med Bergmesteren for Svalbard,9,8,22,35,29,29,13,49,66,46,137,77,520
Direktoratet for naturforvaltning,238,187,221,197,195,183,170,160,145,179,166,155,2196
Direktoratet for samfunnssikkerhet og beredskap,124,129,160,139,153,157,123,231,240,272,323,149,2200
Direktoratet for utviklingssamarbeid,108,54,81,95,52,32,11,22,142,83,92,38,810
Direktoratet for økonomistyring,4,13,1,3,6,1,1,5,0,23,2,2,61
Domstoladministrasjonen,0,0,0,0,0,23,33,81,67,60,40,25,329
Finansdepartementet,328,167,279,256,83,150,107,178,222,184,182,192,2328
Finanstilsynet,182,115,252,215,180,198,133,233,276,276,245,309,2614
Fiskeri- og kystdepartementet,241,267,192,190,109,127,82,175,149,343,221,205,2301
Fiskeridirektoratet,0,0,0,16,21,41,46,419,434,417,215,173,1782
Forbrukerombudet,121,224,101,247,109,162,48,177,159,108,237,83,1776
"Fornyings-, administrasjons- og kirkedepartementet",229,239,274,236,205,217,236,123,281,246,390,312,2988
Forsvarsdepartementet,258,109,209,147,208,102,185,205,153,246,133,176,2131
Fredskorpset,0,0,0,0,0,1,3,4,5,10,1,1,25
Fylkesmannen i Aust-Agder,102,76,89,129,94,67,35,94,85,130,119,113,1133
Fylkesmannen i Buskerud,137,148,129,125,149,116,96,186,153,218,206,137,1800
Fylkesmannen i Finnmark,205,147,100,154,193,195,89,220,135,203,148,121,1910
Fylkesmannen i Hedmark,78,47,109,68,70,92,57,107,72,112,109,63,984
Fylkesmannen i Hordaland,171,125,219,160,140,117,149,236,284,352,356,259,2568
Fylkesmannen i Møre og Romsdal,123,242,160,124,101,128,72,186,145,170,143,122,1716
Fylkesmannen i Nord-Trøndelag,163,156,195,117,180,185,72,237,142,225,230,155,2057
Fylkesmannen i Nordland,258,184,330,103,195,197,168,130,314,197,516,278,2870
Fylkesmannen i Oppland,39,40,29,50,31,62,54,85,36,51,33,17,527
Fylkesmannen i Oslo og Akershus,209,247,177,162,167,278,190,289,219,384,484,228,3034
Fylkesmannen i Rogaland,97,140,131,129,231,290,190,339,348,284,238,202,2619
Fylkesmannen i Sogn og Fjordane,212,183,358,171,213,301,253,327,303,302,327,217,3167
Fylkesmannen i Sør-Trøndelag,55,66,118,97,82,88,39,105,84,137,102,86,1059
Fylkesmannen i Telemark,116,135,142,85,56,68,127,101,109,124,128,138,1329
Fylkesmannen i Troms,317,253,377,233,266,181,253,336,359,445,469,307,3796
Fylkesmannen i Vest-Agder,170,98,119,134,189,80,180,164,137,264,155,145,1835
Fylkesmannen i Vestfold,316,140,258,196,335,218,270,179,147,168,222,188,2637
Fylkesmannen i Østfold,341,254,359,239,264,162,136,251,219,281,334,134,2974
Garanti-instituttet for eksportkreditt,0,0,0,0,0,0,0,0,0,0,0,0,0
Havforskningsinstituttet,1,3,12,18,11,1,5,1,4,42,55,13,166
Helse- og omsorgsdepartementet,491,360,412,390,404,314,192,263,376,487,400,254,4343
Helsedirektoratet,4,95,142,193,113,73,36,194,223,357,321,216,1967
Husbanken,27,25,36,38,27,16,26,48,31,46,112,95,527
Integrerings- og mangfoldsdirektoratet,12,11,18,17,32,23,20,38,16,61,29,20,297
Justervesenet,20,40,45,37,18,42,12,36,59,30,47,28,414
Justis- og politidepartementet,1033,736,890,766,643,496,527,357,761,749,700,486,8144
Klima- og forurensningsdirektoratet,324,310,270,374,285,652,269,498,423,327,344,382,4458
Kommunal- og regionaldepartementet,109,75,147,69,74,82,76,164,114,117,229,171,1427
Kompetansesenter for distriktsutvikling,1,22,5,0,0,2,6,1,0,11,2,0,50
Kulturdepartementet,442,397,483,378,356,251,299,297,473,466,505,307,4654
Kunnskapsdepartementet,339,198,272,246,231,216,139,191,283,226,285,105,2731
Kunst i offentlige rom,46,5,1,1,2,4,0,5,12,20,10,17,123
Kystverket,0,0,0,0,0,0,0,0,0,0,0,20,20
Landbruks- og matdepartementet,93,92,167,96,99,92,83,132,192,81,97,32,1256
Lotteri- og stiftelsestilsynet,149,438,583,228,193,186,176,216,437,189,268,130,3193
Luftfartstilsynet,244,224,183,153,98,157,219,194,166,232,272,118,2260
Medietilsynet,0,0,0,0,2,37,22,34,84,81,100,69,429
Miljøverndepartementet,274,246,496,251,322,273,256,187,324,413,412,237,3691
Nasjonalbiblioteket,14,11,15,16,9,3,8,14,18,19,12,16,155
Nasjonalt folkehelseinstitutt,0,0,0,0,0,0,0,0,0,0,0,9,9
Nasjonalt organ for kvalitet i utdanningen,18,10,12,13,1,10,6,11,12,25,25,10,153
Norges geologiske undersøkelse,7,8,28,7,4,9,4,4,16,5,0,5,97
Norges vassdrags- og energidirektorat,267,432,261,182,298,109,211,334,208,219,258,335,3114
Norsk Filminstitutt,0,0,0,0,0,27,22,70,62,91,65,74,411
Nærings- og handelsdepartementet,215,177,166,232,125,197,104,89,148,183,233,152,2021
Olje- og energidepartementet,325,421,328,330,316,345,206,143,228,235,284,286,3447
Oljedirektoratet,0,0,0,34,122,98,108,73,95,127,181,131,969
Petroleumstilsynet,0,0,0,30,214,58,95,68,186,132,114,129,1026
Politidirektoratet,0,0,0,10,478,236,188,433,643,683,484,363,3518
Post- og teletilsynet,104,64,239,104,87,41,92,76,135,134,96,72,1244
Riksantikvaren - Direktoratet for kulturminneforvaltning,0,0,0,0,0,4,0,17,50,57,83,71,282
Samferdselsdepartementet,557,299,348,332,330,207,332,230,438,418,358,213,4062
Senter for internasjonalisering av høgre utdanning,7,18,17,4,8,13,6,9,16,5,9,6,118
Sjøfartsdirektoratet,211,130,159,114,145,111,116,211,225,149,184,209,1964
Skattedirektoratet,0,0,0,18,11,46,55,21,21,34,23,40,269
Språkrådet,0,0,0,11,45,31,14,33,68,17,72,17,308
Statens arbeidsmiljøinstitutt,0,0,0,0,0,0,0,0,0,0,0,0,0
Statens helsetilsyn,0,0,0,0,0,0,0,0,0,0,0,12,12
Statens innkrevingssentral,1,4,2,11,2,0,1,0,4,12,4,0,41
Statens jernbanetilsyn,61,22,111,107,114,78,77,84,52,63,46,56,871
Statens kartverk,0,0,0,11,26,47,32,33,45,39,42,22,297
Statens legemiddelverk,67,35,138,52,89,35,11,115,78,50,56,39,765
Statens lånekasse for utdanning,6,13,14,3,26,12,115,12,22,13,14,3,253
Statens strålevern,0,0,0,30,83,40,39,82,72,64,95,61,566
Statsbygg,108,105,117,95,118,83,102,83,147,79,75,86,1198
Statsministerens kontor,111,68,107,38,51,63,26,66,115,148,98,70,961
Toll- og avgiftsdirektoratet,32,10,27,30,4,4,32,41,32,46,19,20,297
Utdanningsdirektoratet,46,75,88,89,116,68,118,123,124,94,88,75,1104
Utenriksdepartementet,830,458,614,423,508,709,245,363,629,472,497,328,6076
Utlendingsdirektoratet,0,0,0,0,50,49,38,55,101,112,86,93,584
Utlendingsnemnda,24,5,11,30,20,34,3,34,17,6,12,29,225
"Vox, nasjonalt fagorgan for kompetansepolitikk",13,13,3,22,13,3,3,17,23,13,28,25,176
