trinn,brutto-aar,brutto-dag-260,brutto-dag-312,pensjonsinnskudd,netto-aar,netto-dag-260,netto-dag-312
1,800,"3,00","2,50",16,784,"3,00","2,50"
2,1 600,"6,10","5,10",32,1 568,"6,00","5,00"
3,2 400,"9,20","7,60",48,2 352,"9,00","7,50"
4,3 200,"12,30","10,20",64,3 136,"12,00","10,00"
5,4 000,"15,30","12,80",80,3 920,"15,00","12,50"
6,4 800,"18,40","15,30",96,4 704,"18,00","15,00"
7,5 600,"21,50","17,90",112,5 488,"21,10","17,50"
8,6 400,"24,60","20,50",128,6 272,"24,10","20,10"
9,7 200,"27,60","23,00",144,7 056,"27,10","22,60"
10,8 000,"30,70","25,60",160,7 840,"30,10","25,10"
11,8 800,"33,80","28,20",176,8 624,"33,10","27,60"
12,9 600,"36,90","30,70",192,9 408,"36,10","30,10"
13,10 400,"40,00","33,30",208,10 192,"39,20","32,60"
14,11 200,"43,00","35,80",224,10 976,"42,20","35,10"
15,12 000,"46,10","38,40",240,11 760,"45,20","37,60"
16,12 800,"49,20","41,00",256,12 544,"48,20","40,20"
17,13 600,"52,30","43,50",272,13 328,"51,20","42,70"
18,14 400,"55,30","46,10",288,14 112,"54,20","45,20"
19,15 200,"58,40","48,70",304,14 896,"57,20","47,70"
20,16 000,"61,50","51,20",320,15 680,"60,30","50,20"
21,16 800,"64,60","53,80",336,16 464,"63,30","52,70"
22,17 600,"67,60","56,40",352,17 248,"66,30","55,20"
23,18 400,"70,70","58,90",368,18 032,"69,30","57,70"
24,19 200,"73,80","61,50",384,18 816,"72,30","60,30"
25,20 000,"76,90","64,10",400,19 600,"75,30","62,80"
26,20 800,"80,00","66,60",416,20 384,"78,40","65,30"
27,21 600,"83,00","69,20",432,21 168,"81,40","67,80"
28,22 400,"86,10","71,70",448,21 952,"84,40","70,30"
29,23 200,"89,20","74,30",464,22 736,"87,40","72,80"
30,24 000,"92,30","76,90",480,23 520,"90,40","75,30"
31,24 800,"95,30","79,40",496,24 304,"93,40","77,80"
32,25 600,"98,40","82,00",512,25 088,"96,40","80,40"
33,26 400,"101,50","84,60",528,25 872,"99,50","82,90"
34,27 200,"104,60","87,10",544,26 656,"102,50","85,40"
35,28 000,"107,60","89,70",560,27 440,"105,50","87,90"
36,28 800,"110,70","92,30",576,28 224,"108,50","90,40"
37,29 600,"113,80","94,80",592,29 008,"111,50","92,90"
38,30 400,"116,90","97,40",608,29 792,"114,50","95,40"
39,31 200,"120,00","100,00",624,30 576,"117,60","98,00"
40,32 000,"123,00","102,50",640,31 360,"120,60","100,50"
41,32 800,"126,10","105,10",656,32 144,"123,60","103,00"
42,33 600,"129,20","107,60",672,32 928,"126,60","105,50"
43,34 400,"132,30","110,20",688,33 712,"129,60","108,00"
44,35 200,"135,30","112,80",704,34 496,"132,60","110,50"
45,36 000,"138,40","115,30",720,35 280,"135,60","113,00"
46,36 800,"141,50","117,90",736,36 064,"138,70","115,50"
47,37 600,"144,60","120,50",752,36 848,"141,70","118,10"
48,38 400,"147,60","123,00",768,37 632,"144,70","120,60"
49,39 200,"150,70","125,60",784,38 416,"147,70","123,10"
50,40 000,"153,80","128,20",800,39 200,"150,70","125,60"
51,40 800,"156,90","130,70",816,39 984,"153,70","128,10"
52,41 600,"160,00","133,30",832,40 768,"156,80","130,60"
53,42 400,"163,00","135,80",848,41 552,"159,80","133,10"
54,43 200,"166,10","138,40",864,42 336,"162,80","135,60"
55,44 000,"169,20","141,00",880,43 120,"165,80","138,20"
56,44 800,"172,30","143,50",896,43 904,"168,80","140,70"
57,45 600,"175,30","146,10",912,44 688,"171,80","143,20"
58,46 400,"178,40","148,70",928,45 472,"174,80","145,70"
59,47 200,"181,50","151,20",944,46 256,"177,90","148,20"
60,48 000,"184,60","153,80",960,47 040,"180,90","150,70"
61,48 800,"187,60","156,40",976,47 824,"183,90","153,20"
62,49 600,"190,70","158,90",992,48 608,"186,90","155,70"
63,50 400,"193,80","161,50",1 008,49 392,"189,90","158,30"
64,51 200,"196,90","164,10",1 024,50 176,"192,90","160,80"
65,52 000,"200,00","166,60",1 040,50 960,"196,00","163,30"
66,52 800,"203,00","169,20",1 056,51 744,"199,00","165,80"
67,53 600,"206,10","171,70",1 072,52 528,"202,00","168,30"
68,54 400,"209,20","174,30",1 088,53 312,"205,00","170,80"
69,55 200,"212,30","176,90",1 104,54 096,"208,00","173,30"
70,56 000,"215,30","179,40",1 120,54 880,"211,00","175,80"
71,56 800,"218,40","182,00",1 136,55 664,"214,00","178,40"
72,57 600,"221,50","184,60",1 152,56 448,"217,10","180,90"
73,58 400,"224,60","187,10",1 168,57 232,"220,10","183,40"
74,59 200,"227,60","189,70",1 184,58 016,"223,10","185,90"
75,60 000,"230,70","192,30",1 200,58 800,"226,10","188,40"
76,60 800,"233,80","194,80",1 216,59 584,"229,10","190,90"
77,61 600,"236,90","197,40",1 232,60 368,"232,10","193,40"
78,62 400,"240,00","200,00",1 248,61 152,"235,20","196,00"
79,63 200,"243,00","202,50",1 264,61 936,"238,20","198,50"
80,64 000,"246,10","205,10",1 280,62 720,"241,20","201,00"
81,64 800,"249,20","207,60",1 296,63 504,"244,20","203,50"
82,65 600,"252,30","210,20",1 312,64 288,"247,20","206,00"
83,66 400,"255,30","212,80",1 328,65 072,"250,20","208,50"
84,67 200,"258,40","215,30",1 344,65 856,"253,20","211,00"
85,68 000,"261,50","217,90",1 360,66 640,"256,30","213,50"
86,68 800,"264,60","220,50",1 376,67 424,"259,30","216,10"
87,69 600,"267,60","223,00",1 392,68 208,"262,30","218,60"
88,70 400,"270,70","225,60",1 408,68 992,"265,30","221,10"
89,71 200,"273,80","228,20",1 424,69 776,"268,30","223,60"
90,72 000,"276,90","230,70",1 440,70 560,"271,30","226,10"
91,72 800,"280,00","233,30",1 456,71 344,"274,40","228,60"
92,73 600,"283,00","235,80",1 472,72 128,"277,40","231,10"
93,74 400,"286,10","238,40",1 488,72 912,"280,40","233,60"
94,75 200,"289,20","241,00",1 504,73 696,"283,40","236,20"
95,76 000,"292,30","243,50",1 520,74 480,"286,40","238,70"
96,76 800,"295,30","246,10",1 536,75 264,"289,40","241,20"
97,77 600,"298,40","248,70",1 552,76 048,"292,40","243,70"
98,78 400,"301,50","251,20",1 568,76 832,"295,50","246,20"
99,79 200,"304,60","253,80",1 584,77 616,"298,50","248,70"
100,80 000,"307,60","256,40",1 600,78 400,"301,50","251,20"
101,80 800,"310,70","258,90",1 616,79 184,"304,50","253,70"
102,81 600,"313,80","261,50",1 632,79 968,"307,50","256,30"
103,82 400,"316,90","264,10",1 648,80 752,"310,50","258,80"
104,83 200,"320,00","266,60",1 664,81 536,"313,60","261,30"
105,84 000,"323,00","269,20",1 680,82 320,"316,60","263,80"
106,84 800,"326,10","271,70",1 696,83 104,"319,60","266,30"
107,85 600,"329,20","274,30",1 712,83 888,"322,60","268,80"
108,86 400,"332,30","276,90",1 728,84 672,"325,60","271,30"
109,87 200,"335,30","279,40",1 744,85 456,"328,60","273,80"
110,88 000,"338,40","282,00",1 760,86 240,"331,60","276,40"
